,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Feb,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Mar,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Apr,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
May,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Jun,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Jul,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Aug,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999552002
Sep,5000.0,833.3333333333334,400.0,1666.6666666666667,7499.999999552002
Oct,5000.0,1433.3333288533363,0.0,1666.6666666666667,7300.000004031999
Nov,5000.0,8733.333332885335,0.0,1666.6666666666667,0.0
Dec,5000.0,8733.333332885335,0.0,1666.6666666666667,0.0
